person_id,camera_id,first_seen,last_seen,total_detections,victim_confidence,suspect_confidence
CAM_001_P1,CAM_001,2026-05-09T21:27:01.500000,2026-05-09T21:27:08,18,0.00,0.00
CAM_001_P8,CAM_001,2026-05-09T21:27:05,2026-05-09T21:27:06.833333,8,0.00,0.00
CAM_001_P11,CAM_001,2026-05-09T21:27:08,2026-05-09T21:27:08.500000,4,0.00,0.00
CAM_001_P12,CAM_001,2026-05-09T21:27:08.166667,2026-05-09T21:27:08.500000,3,0.00,0.00
CAM_002_P1,CAM_002,2026-05-09T22:05:00,2026-05-09T22:05:14.827586,12,0.00,0.00
CAM_002_P3,CAM_002,2026-05-09T22:05:03.448276,2026-05-09T22:05:15.172414,24,0.00,0.00
CAM_002_P8,CAM_002,2026-05-09T22:05:11.551724,2026-05-09T22:05:14.310345,16,0.00,0.00
CAM_002_P9,CAM_002,2026-05-09T22:05:13.965517,2026-05-09T22:05:15.344828,4,0.00,0.00
CAM_003_P2,CAM_003,2026-05-09T22:45:01.166667,2026-05-09T22:45:05.500000,22,0.00,0.00
CAM_003_P3,CAM_003,2026-05-09T22:45:01.500000,2026-05-09T22:45:02,4,0.00,0.00
CAM_003_P7,CAM_003,2026-05-09T22:45:06.500000,2026-05-09T22:45:09.500000,6,0.00,0.00
